"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"57","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.88,4,3.62,3,4,1.25,1.25,1,4.12,3.62,4,2,2.5,3,3.25,3.75,2.88,1,1.75,2.88,3,1.38,1.75,4.25,1.12,4.12,3,3.25,4.62,3.12,3.12,1.5,3.38,1.5,4,"Importance"
"58","Audio and Video Equipment Technicians",2.88,3.38,3.12,3.12,3.5,2.25,2.62,2.5,3,3.12,2.62,1.5,2,2.62,2.12,3.5,2.62,3,3.5,1.62,2.62,1.75,3,3.5,2.25,1.12,3,3,3.25,2.75,2.88,2.12,3,2.88,3.38,"Importance"
"59","Audio-Visual and Multimedia Collections Specialists",3.12,3.62,3.25,3.25,3.62,3.25,2.88,2.75,3.12,3.5,3.12,2.12,2.75,2.88,2.38,3.12,2.38,2.88,3.12,1.62,2.25,1.62,2.88,3.12,2.62,1.12,2.88,2.88,3.38,3,2.75,2.12,3.38,3.38,3.25,"Importance"
"60","Audiologists",3.88,4,3.38,3.38,4,2.12,2.25,1.38,3.12,3.62,3.25,2.25,2.12,2.88,2.75,3.75,2.75,2.12,2.75,2.5,2.88,1.75,2.88,4,2.12,3,3.38,3.75,4,3.25,3.12,1.75,3.25,2.25,3.75,"Importance"
"61","Auditors",3.5,3.62,3.5,3.25,3.75,1,1,1,3,3.5,3,2.5,2,3.12,3.38,3.25,3,1.12,2.12,2.75,3.12,2,2.12,3.75,1,2.12,2.88,3.12,3.62,3.25,3.25,1.62,3.25,1,3.5,"Importance"
"62","Automotive and Watercraft Service Attendants",2.38,3.25,3,2.62,3,2.62,2.38,1.88,1.88,2.88,2.12,1.5,1.5,1.88,2.25,2.88,2.75,3.12,2.75,1.12,2.62,1.5,2.62,2.88,2.88,1.25,3.25,3,3.25,2,2,1.12,3,2.38,2.75,"Importance"
"63","Automotive Body and Related Repairers",2.62,3,3,2.88,2.88,2.38,2.62,2.12,2.25,2.88,2.38,2,2.12,2.12,2.12,3,2,3,2.75,2.12,2.5,1.88,2.75,2.62,3.38,1.38,2.62,2.75,3,2.25,2.25,1.62,2.75,2.88,2.12,"Importance"
"64","Automotive Engineers",3.25,3.75,4.12,3.62,4.12,1,1.88,1,3,4,2.88,2.12,2.12,3,3.75,3.25,2.62,2.25,2.88,3.62,2.88,2.62,2.75,3.88,1,3.12,2.75,3,3.88,3.5,3.5,3.25,3.12,2.25,3.75,"Importance"
"65","Automotive Glass Installers and Repairers",2.62,2.88,2.75,2.75,2.88,2.12,3,3.12,2.38,2.75,2.38,1.38,1.75,2,2,2.88,2.38,2.75,2.75,1.75,2.38,1.12,2.75,2.5,2.38,1.5,2.88,2.88,3,2.12,2,1.62,2.88,2.25,2.38,"Importance"
"66","Automotive Master Mechanics",3,3.38,3.12,2.88,3.5,3.88,3.75,3.12,2.25,3.12,2.38,2.12,2.38,2.38,2.25,3,2.62,3.62,3.62,2.5,2.62,1.5,3.75,3.12,3.88,2.25,2.75,2.75,3,2.75,2.62,1.75,3,3.88,2.62,"Importance"
"67","Automotive Specialty Technicians",3,3.25,3,3,3.38,3.25,3,2.38,2.12,3.38,2.12,1.88,1.75,2.12,2.12,2.88,2,3.5,3.38,1.75,2.12,1.5,3,2.88,3.88,1.88,2.88,2.62,3,2.88,2.88,1.75,3,3.75,2.75,"Importance"
"68","Aviation Inspectors",3.12,3.62,3.38,3,4,2.75,2.62,1,2.88,3.38,2.75,1.38,1.5,2.75,2.12,3.25,2.88,3,3.75,2.62,2.88,1.25,4,3.62,2.62,2.88,2.88,3,3.75,3,2.88,1.38,3.12,2.88,3.62,"Importance"
"69","Avionics Technicians",3,3.38,3.5,3,3.75,3.88,3,2.75,2.88,3.25,2.62,1.5,1.75,2.62,2.12,3.12,2.38,2.5,3.75,2.25,2.88,1.62,3.75,3.25,3.88,2.88,2.75,2.88,3.38,3,2.88,1.88,3.12,3.88,3.25,"Importance"
"70","Baggage Porters and Bellhops",2.38,3.62,2.75,3.12,3,1,1,1,2.38,2.88,2.25,1.75,1.75,2.25,2,3.12,2.38,2.38,2.38,1.12,2.25,1.38,1.88,2.5,1,1,3.75,3.38,3.62,1.88,1.88,1.12,2.5,1.88,2.5,"Importance"
"71","Bailiffs",2.62,3.25,2.62,2.62,3,1,1,1,2.12,3.12,2.12,1,1.12,2.12,1.38,3.25,2.75,1.12,1.62,1.12,2.75,1.12,1.75,2.62,1,1,2.5,3.62,3.25,1.62,1.38,1,2.88,1.25,2.38,"Importance"
"72","Bakers",3,3,2.25,3,3,1.5,1.5,1,2,3,2.25,1.75,2,2,2.25,3.25,2.12,2.25,2.88,2,2,1,2.88,2.88,1.12,1.75,2.5,2.75,3,2,2,1.75,3,2.12,2.25,"Importance"
"73","Barbers",2.62,3.62,2.38,2.88,2.88,1.75,1.88,1,1.25,2.75,2,1.62,1.75,1.75,1.25,3.12,1.88,2,2,2.75,2.38,1,1.88,2.62,1.5,1.38,3,3.12,3.38,1.38,1.38,1.12,2.5,1.62,2.12,"Importance"
"74","Baristas",2.62,3.5,2.38,3,2.88,2.12,1.62,1,2.25,2.38,2.38,1.75,1.88,2.12,2.12,3,2.5,2.75,2.5,1.12,2.75,1,2.25,3,2,1,3.38,3.12,3.38,1.75,1.75,1.38,2.62,2.12,2.62,"Importance"
"75","Bartenders",2.88,3.62,2.88,3,3.12,1.12,1.12,1,2.88,2.88,2.62,2,2.12,2.38,2.38,3,2.88,2,2.25,1,2.88,1.38,2,2.75,1,1,3.62,3.38,3.38,2.25,2.38,1.5,2.75,1.75,2.62,"Importance"
"76","Bicycle Repairers",2.88,3.5,3,2.88,3.5,3.75,3.5,2,2.62,3,2.75,1.5,1.75,2.75,2.12,2.88,2.62,2.62,2.75,1.38,2.5,1.12,3.38,2.88,4.38,1.25,3.12,3.38,3.38,2.12,2.25,2.12,3,3.62,2.75,"Importance"
"77","Bill and Account Collectors",2.75,4,3,3.25,3.38,1,1,1,2.25,3.12,2.25,1.25,1,2.38,2.75,3,3.38,1,1.75,1.38,3.5,1.38,1,3.38,1,1.12,3,3.62,4,2.38,2,1.38,3,1,3.25,"Importance"
"78","Billing, Cost, and Rate Clerks",2.88,3.75,2.75,3,3.12,1,1,1,2,2.75,2.25,1.12,1,2.12,2.88,3,2.62,1,1.38,1.12,2.75,2,2,3.38,1,1,3,3,3.62,2.12,2,1,3,1,2.88,"Importance"
"79","Biochemical Engineers",3.62,4,3.75,3.12,3.75,1.25,1.5,1.12,3,3.88,3,1.88,2.5,2.5,3.5,3.25,2.62,2.38,3,3.38,2.75,1.88,2.88,4.25,1.12,3.88,2.5,3,3.62,3.5,3.38,2.38,3.12,2,3.62,"Importance"
"80","Biochemists and Biophysicists",4,4,3.88,3,4.12,1.88,2.25,1,3.5,3.75,3.62,2.12,2.25,3.12,3.75,3.75,2.5,2.38,2.88,3.25,2.75,2.25,3,4.12,1.88,4.62,2.75,3,4,3.5,3.25,2.25,3.12,2,4,"Importance"
"81","Biofuels/Biodiesel Technology and Product Development Managers",3.25,3.5,3.62,3.25,3.62,1.75,2.25,1.12,3,3.62,2.88,2,2,3.12,3.12,3.25,2.88,2.25,3,2.38,3,2,3.12,3.62,1.75,3.12,2.88,2.88,3.62,3.62,3.5,2.12,3.25,2,3.62,"Importance"
"82","Bioinformatics Scientists",3.62,4,4,3,4.12,1,1.5,1,3,3.62,3,2,2.12,2.88,3.5,3.38,2.75,1.25,2.25,2.25,2.88,2.12,2.12,4.12,1,3.75,2.88,3.25,4,3.25,3.25,2.25,3.38,2,3.88,"Importance"
"83","Bioinformatics Technicians",3.5,3.5,3.5,2.88,3.5,1.12,1.12,1,2.88,3.5,2.75,1.62,1.62,2.62,3.38,3.25,2.5,1.12,2.62,2.12,2.75,3.12,2.25,3.75,1.12,3.12,2.5,2.88,3.38,3.25,3,2.12,3,1.12,3.5,"Importance"
"84","Biological Science Teachers, Postsecondary",3.88,4,3.88,3,3.88,1,1,1,4,3.5,4.12,2.25,2.12,2.88,2.62,3.62,2.88,1,1.62,2.75,2.75,1.38,1.5,4.12,1,4,3,3.12,4.25,3,3,1.12,3.5,1,4.12,"Importance"
"85","Biological Technicians",3.25,3.62,3.38,2.75,3.62,2.12,1.62,1.12,2.12,3.12,2.5,1.75,2.25,2,2.88,3.12,1.88,2.62,2.75,2,2.38,2,2.75,3.75,1.62,3.62,2.12,2.62,3.12,3.12,2.62,2,3,2.88,3.12,"Importance"
"86","Biologists",3.38,3.62,3.62,3,4,1,1.12,1,3.25,3.5,3,2.25,2.12,3.25,3.5,3.25,2.5,1.38,2.12,1.88,2.88,2.62,2.38,3.88,1,4.5,2.5,3.25,3.5,2.75,2.62,1.62,3.38,1.88,3.5,"Importance"
"87","Biomass Plant Technicians",2.88,3.12,2.88,3.12,3,3.25,2.62,1.25,2.75,3,2.62,1.5,2.25,2.25,2.5,3.38,2.5,3.62,3.88,1.75,2.62,1.62,3.38,3.12,3.38,1.62,2.5,2.62,3,2.5,2.5,1.88,3,3.12,3,"Importance"
"88","Biomass Power Plant Managers",3,3.62,3.62,3.75,4,2.38,2,1.12,3,3.75,2.75,3.38,3.12,3.75,2.88,3.75,3,2.5,3.5,2.25,3.25,2.12,3.25,3.75,2.25,2.5,2.62,3.12,3.88,3.38,3.25,1.75,3.75,2.75,3.38,"Importance"
"89","Biomedical Engineers",3.5,3.88,4,3.12,4.12,2.38,2.38,2.62,3.12,4,3.25,2,2.5,2.88,3.62,3.5,2.75,2.38,3.12,3.88,3,3.12,3.12,4,2.5,4.12,2.88,3.12,3.75,3.62,3.5,3.38,3.25,2.88,3.5,"Importance"
"90","Biostatisticians",3.88,3.88,4,3,4.12,1,1.62,1,3.25,3.75,3.25,1.75,1.75,2.88,4.5,3.12,2.38,1.25,1.75,2.88,2.75,3.25,1.88,4.12,1.12,4,2.75,2.88,3.75,3.38,3.12,1.75,3.12,1,3.88,"Importance"
"91","Boilermakers",3,3,3,2.75,3.5,3.38,3.12,2.12,2.62,3,2.75,1.5,1.88,2.25,2.25,3.12,2.38,3.62,3.75,2.75,2.25,1,3.38,3.12,3.25,2,2.5,2.75,2.88,2.38,2.38,1.75,3,3.25,2.75,"Importance"
"92","Bookkeeping, Accounting, and Auditing Clerks",2.88,3.38,2.75,2.88,3.25,1,1.12,1,2.38,2.75,2.38,2.12,1.75,2.5,3.25,3.25,2.5,1,1.75,1.5,2.62,1.38,1.12,3.38,1,1.12,2.75,3.12,3.38,2.38,2.12,1.38,3.25,1,3.25,"Importance"
