"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"31","Anesthesiologist Assistants",3.62,3.88,3.38,3.5,3.75,1.75,2.25,0.62,3.25,3.62,3.25,1.25,2,2.88,2.88,3.88,2.88,3.38,3.5,1.12,2.88,0.62,2.88,4.25,1.88,2.88,3.5,3.62,3.75,2.88,3.12,1.38,3.12,2.5,3.5,"Level"
"32","Anesthesiologists",4.12,4.25,4,3.75,4.38,0,0.5,0,3.75,4.25,3.38,2.25,2.25,3.5,3.38,4.38,2.88,3.12,3.62,2.75,3.38,0.12,2.62,4.88,0,3.88,3.75,3.75,4,3.25,3.25,1,4,2.25,4,"Level"
"33","Animal Breeders",2.38,2.88,2.5,2.62,3.25,0,0.25,0,1.88,2.75,2.12,1.75,1.75,2.12,2.25,2.88,1.88,2.62,2.5,1.75,2.75,0.75,2.88,2.88,0,3.38,2.38,2.38,2.5,2.25,1.62,0.62,2.75,1.75,2.75,"Level"
"34","Animal Control Workers",3.12,3.62,2.75,2.88,3.75,0.25,0.38,0,3,3.12,2.75,0.62,1.12,2,1,3.25,2.5,1.88,2.12,1.88,3,0.25,1.75,3.12,0,0.62,3.12,3,3.38,2.12,2.12,0.38,3,0.62,3,"Level"
"35","Animal Scientists",4,3.75,4,3.38,4.12,0,0.25,0,3.25,4.25,3,1.25,1.75,3.12,3.38,3.88,3,2,3,2.75,3,0.62,3,4.38,0,4.25,3,3.5,4.12,3.38,3.62,1.12,3.62,1,4.25,"Level"
"36","Animal Trainers",3.12,3,2.75,3,3.38,0,0.12,0,3.12,2.88,3.88,1.5,1.75,2.5,1.62,3.5,2.25,1.75,1.5,1,2.88,0.12,2.12,3.12,0,1.38,3,3,3,2.62,2.62,0.75,2.75,1.25,2.75,"Level"
"37","Anthropologists",4.25,4.38,4,3.25,4.5,0,0.25,0,4,4,3.62,1.25,1.38,3,3.12,3.75,2.88,0.12,0.88,3.25,3.12,1.62,0.88,4.75,0,4.5,2.88,3.75,4.62,4.12,3.5,1.12,3.25,0,5,"Level"
"38","Anthropology and Archeology Teachers, Postsecondary",4.12,4.25,3.88,3.25,4,0,0,0,4,4,3.88,1.12,1.5,3,2.75,3.88,2.88,0,0,2.62,3.25,0.25,0.38,4.88,0,3.88,2.88,3.88,4.75,3.25,3.62,0.12,3.75,0,4.75,"Level"
"39","Appraisers, Real Estate",3.38,3.62,3,2.5,3.88,0,0.12,0,1.88,3.88,1.75,1.75,1.62,1.62,3.62,2.62,2.38,1.62,1.5,0.62,2.5,0.38,1.25,4,0,1.38,2.75,2.75,3.75,3,2.12,0.38,2.88,0.5,3.62,"Level"
"40","Aquacultural Managers",3.5,3.5,3.25,3.75,3.5,2.62,2,0.12,3.12,3.5,3.12,2.88,2.5,3.5,2.38,3.75,3.12,2.88,3,3.12,3.12,0.88,3.25,3.88,2.12,3.25,2.88,3.5,3.62,3.62,3.5,1.12,3.5,2.5,3.75,"Level"
"41","Arbitrators, Mediators, and Conciliators",3.75,4.88,3.5,3.38,4.62,0,0,0,2.88,4,2.75,0,0,1.88,1.5,3.75,5,0.25,0.62,1.62,4.62,0.5,0.38,4.38,0,0.75,3.25,3.75,4.5,2.88,2.88,0.5,2.88,0,4.12,"Level"
"42","Archeologists",4,4.12,3.88,3.75,4.12,0,0.38,0,3.75,3.88,3.75,2,2.25,3.5,3.38,3.88,2.75,1.5,2,2.38,3,1.38,1.25,4.75,0,4,2.75,3.25,4.25,3.25,3.12,1,3.25,0.38,4.75,"Level"
"43","Architects, Except Landscape and Naval",4.25,4.12,4.12,4.12,4.62,0,0.38,0,3.25,4.5,3.38,3.5,3.25,3.62,4.38,4.38,3.75,1.75,2.25,4.25,3.88,1.5,3.25,4.62,0,3,3.5,3.5,4.12,3.5,3.75,2,3.88,1.62,4.12,"Level"
"44","Architectural and Engineering Managers",4.25,4.12,4.12,4.12,4.25,0,0.5,0.5,3.5,4.25,3.38,3.38,3.25,4,3.75,4.12,4,1.5,2.62,1.88,3.88,1.38,3.12,4.38,0.5,2.38,3.38,3.75,4.12,3.5,3.25,1.62,4,1.88,4.12,"Level"
"45","Architectural Drafters",3.5,3.38,3.5,3.62,3.88,0,1,0,3,3.62,3.12,2.12,2.25,3,4.12,3.62,2.75,1.38,2,2.75,2.38,2.25,3.12,3.75,0,1.62,2.62,2.88,3.5,3.5,2.88,1.38,3.5,1,3.25,"Level"
"46","Architecture Teachers, Postsecondary",4.38,4.25,4.25,3.38,4.5,0,0,0,4.62,4.12,4.38,1.12,1.75,3.12,3.75,4.12,2.88,0,0.62,3,3.5,0.62,0.88,5,0,2.38,3.12,3.5,4.75,3.25,3.25,0.88,3.5,0,5,"Level"
"47","Archivists",3.12,3.88,3.25,3.12,3.75,0,0,0,3.12,3.12,3.12,1.88,2.38,3.12,1.88,3.12,2.62,0,1.12,1.88,2.75,1.25,0.88,4,0,1.25,3,3,3.75,3,2.5,0.5,3,0.25,3.88,"Level"
"48","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4,4.38,3.75,3,4.25,0,0,0,3.88,3.75,4.12,0.62,1.12,3,2.25,4,2.38,0,0.38,2.62,3.12,0.62,0.75,5,0,3.75,3,3.38,4.75,3,3.12,0.5,3.5,0,4.75,"Level"
"49","Art Directors",3.75,4,3.62,4.12,4,0.88,1.25,0,3.62,3.75,3.25,3.38,2.88,3.5,2.88,3.75,3.5,0.12,1.38,3.25,3.62,0.88,2.38,3.88,1,0.38,3.25,3.12,4,3,3.5,1,3.88,1.25,4,"Level"
"50","Art Therapists",3.88,4.38,3.5,3.38,4.12,0,1.25,0,3.38,3.75,3.62,0.38,1,3,2.12,3.88,3.25,0.5,0.75,1.62,3.38,0.75,1,4.12,0,2.12,4,4.88,4.25,3.25,3.38,1.38,3.12,0,4,"Level"
"51","Art, Drama, and Music Teachers, Postsecondary",4,4,3.38,3.25,4,0,0.5,0,4.62,3.75,4,1.88,2.25,3.12,2.25,4,2.75,0,0.38,2.62,3.12,0.12,0.62,4.62,0,1.38,3.25,3.75,4.5,3.12,2.88,0.38,4,0,4.12,"Level"
"52","Assessors",3.38,4,3.12,2.75,4,0,0,0,2.38,3.75,2.38,1.12,0.88,2.25,4,3,2.88,1.75,2.25,1.12,3,0.88,2.5,3.88,0,0.62,3.12,3.12,3.88,2.62,2.38,0.12,3,1,3.88,"Level"
"53","Astronomers",4.88,4,3.62,3.25,4.25,0,0.5,0,3.88,3.75,3.75,2.62,2.25,2.88,4.75,3.88,2.75,1,1.62,3.25,2.75,1.62,0.75,5.12,0,5,3,3.25,4.62,3.12,3.12,2.38,3.25,0,4.88,"Level"
"54","Athletes and Sports Competitors",2.75,3.12,2.62,3.62,3,0.25,0.25,0,2.62,3,2.62,0,0.25,2.38,0.88,3.25,2.25,0.25,1.5,2,2.38,0,1,2.88,0,1.25,2.5,3,3,2.12,2,0.62,2.75,0.62,2.75,"Level"
"55","Athletic Trainers",4,4,3.38,3.25,4,0,1,0,3.75,3.75,3.88,1.38,1.88,2.88,2.12,4,2.38,1.75,2.38,2.38,3.12,0.25,3,3.88,0,2.38,3.75,3.75,3.88,3.12,3.25,1.5,3,1.38,3.88,"Level"
"56","Atmospheric and Space Scientists",4.25,4.12,3.88,3.25,4,0,0,0,3.5,3.88,3.25,0.62,1.25,2.88,3.62,3.75,2.88,0.5,1.5,3.25,3,0.75,0.62,4.88,0,5,3.12,3.12,4.25,3.5,3.25,0.62,3.38,0,4.25,"Level"
"57","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,4.75,3.88,3.12,4.12,0.5,0.38,0,4.12,4,4.25,1.5,2.38,3.12,4,4.12,3,0,1,3.12,3.12,0.5,1.12,5,0.25,4.12,3.12,3.62,4.75,3.75,3.75,0.75,3.75,0.75,4.88,"Level"
"58","Audio and Video Equipment Technicians",3.12,3.25,3,3.12,3.5,1.88,2.25,2.38,3.25,2.88,2.88,0.88,1.75,2.5,2.12,3.38,2.62,2.88,3.25,1.12,2.62,1.25,2.88,3.62,2,0.25,2.88,2.88,3.25,2.88,2.88,1.62,3,2.75,3.38,"Level"
"59","Audio-Visual and Multimedia Collections Specialists",3.5,3.5,3,3.25,3.88,2.88,3,2.5,3.38,3.12,3.25,2.5,2.88,3.12,1.88,3.5,2.12,2.75,2.62,1.25,2.25,1.25,2.88,3.88,2.88,0.25,3,2.88,3.5,2.75,2.75,2,3.38,3.25,3.75,"Level"
"60","Audiologists",4.38,4.25,3.75,3.62,4.25,2.12,2.62,0.5,3.62,4,3.62,2.25,2.25,3,3,4.12,2.75,2.25,2.75,2.5,3.25,1,3.25,5,2.5,3.25,3.62,4.25,4.25,3.25,3.38,1.5,3.12,2.62,4.25,"Level"
"61","Auditors",4,4.12,3.75,3.5,4.38,0,0,0,3.5,3.88,3.25,2.62,1.75,3.5,3.75,4.12,3.25,0.12,1.75,2.88,3.62,1.88,1.75,4.38,0,1.75,3.12,3.25,4.25,4,4,0.88,3.5,0,4.25,"Level"
"62","Automotive and Watercraft Service Attendants",1.88,2.62,2.25,2.25,2.75,2.38,2.12,1.38,1.62,2.38,1.88,0.88,0.5,1.88,1.75,2.62,2.38,2.5,2.25,0.12,2.25,0.5,2.38,2.5,2.62,0.25,2.88,2.25,2.5,1.38,1.5,0.12,2.38,2.12,2.5,"Level"
"63","Automotive Body and Related Repairers",2.38,2.62,2.62,2.88,3,2.38,2.62,1.88,2.62,2.62,2.38,1.38,1.75,2.12,2.38,2.75,1.88,3,2.75,1.5,1.88,1.12,2.88,2.62,3.25,0.88,2.62,2.62,2.5,2.38,1.88,1,2.62,2.62,2.12,"Level"
"64","Automotive Engineers",4.62,3.75,4.38,3.75,4.5,0,2.12,0,3.88,4.38,3.25,2.25,2.12,3.25,5,4,2.75,2.38,3.25,4.25,3.25,3,3.75,4.75,0,4.12,2.5,2.88,3.88,4,4.25,3.62,3,2.75,4,"Level"
"65","Automotive Glass Installers and Repairers",2.38,2.75,2.5,2.5,2.75,1.75,2.38,2.75,2.25,2.38,2.12,0.5,1,1.88,1.75,2.62,2,2.62,2.62,1.12,2.12,0.12,2.75,2.5,2,0.5,2.62,2.62,2.62,1.88,1.88,0.62,3,1.88,2.38,"Level"
"66","Automotive Master Mechanics",3,3.25,3.25,3,3.38,4,3.25,2.88,2.75,3.38,2.88,1.88,2.12,2.5,2.62,3,2.38,3.62,3.62,2.25,2.75,0.88,3.5,3,4.12,2.38,3,2.25,3,3,2.88,1.38,2.75,3.75,2.5,"Level"
"67","Automotive Specialty Technicians",3,3,3,2.88,3.25,3.12,2.75,1.88,2.38,3,2.12,1.12,0.75,1.88,1.25,3,1.62,3.12,3.12,1.25,2.12,0.5,3.25,2.62,3.75,1.62,3,2.25,2.75,2.75,3,0.88,2.88,3.5,2.5,"Level"
"68","Aviation Inspectors",3.25,3.25,3.38,3,4,3,2.5,0,3.12,3.38,3,0.38,0.62,3,2.25,3.25,2.88,3,3.62,2.62,2.88,0.25,3.5,3.38,2.62,3.5,2.88,3,3.5,2.88,2.88,0.38,3.25,3.25,3.25,"Level"
"69","Avionics Technicians",3.12,3.25,3.5,3.12,3.75,4,3,2.88,2.88,3.25,2.62,0.62,1.12,2.62,2.12,3.25,2.25,2.5,3.62,2.12,2.75,0.88,3.62,3.5,4,2.88,2.62,3,3,3.12,3.12,1.12,3.25,4,3.12,"Level"
"70","Baggage Porters and Bellhops",2,2.5,2.25,2.5,2.5,0,0,0,2.25,2.25,2,0.88,1,1.75,1.5,2.38,1.75,1.88,1.88,0.12,1.75,0.5,1.38,2.5,0,0,3.25,2.38,2.38,1.5,1.62,0.12,2.12,1.5,1.88,"Level"
"71","Bailiffs",2.12,3,2.25,2.5,3,0,0,0,1.5,2.62,1.75,0,0.25,1.88,0.38,2.75,2.62,0.12,1.12,0.12,2.5,0.12,1,2.5,0,0,2.25,3.25,3,1.12,0.5,0,2.38,0.38,2.12,"Level"
"72","Bakers",3,2.75,2,2.88,3,0.5,0.62,0,2,2.75,2,0.88,1.38,1.62,2.12,2.88,1.88,2,2.62,1.88,1.75,0,2.25,2.75,0.12,0.88,2.25,2.62,2.88,2,2,0.88,2.75,1.25,2.12,"Level"
"73","Barbers",2.5,2.88,2.62,2.5,2.88,1.12,1.12,0,0.62,2.38,1.75,1.38,1.38,1.75,0.5,2.88,1.88,1.62,2,2.12,2.12,0,1.75,2.25,0.75,0.5,2.88,2.5,2.62,0.62,0.62,0.12,2.75,1.25,2.12,"Level"
"74","Baristas",2.62,2.62,2.25,2.75,2.75,1.62,1.12,0,2.5,2.25,2,1.12,1.12,1.88,2,2.5,2.5,2.25,2.38,0.25,2.5,0,1.88,2.75,1.5,0,2.88,2.62,2.62,1.38,1.25,0.5,2.38,1.62,2.38,"Level"
"75","Bartenders",2.62,3.25,2.5,3,2.62,0.38,0.25,0,2.62,2.5,2.62,1.62,1.75,2.38,2,3,2.75,1.38,2.12,0,2.75,0.38,1.5,2.88,0,0,3.12,3,3.12,2.12,2.12,0.5,2.25,1.12,2.75,"Level"
"76","Bicycle Repairers",2.38,2.5,2.5,2.38,3.12,3.12,2.5,1.25,2.62,2.38,2.38,1,1.12,2.38,1.62,2.75,2.25,2.12,2.12,0.62,2.25,0.25,3.25,3,3.12,0.25,2.88,2.5,2.75,1.5,1.75,1.75,2.75,3,2.38,"Level"
"77","Bill and Account Collectors",2.75,3.88,3,3.12,3.62,0,0,0,2.25,3,2.25,0.38,0,2,2.75,3.12,3.38,0,1.25,0.38,3.62,0.5,0,3.5,0,0.12,2.88,3.38,3.88,2.25,1.75,0.38,2.75,0,3.38,"Level"
"78","Billing, Cost, and Rate Clerks",2.88,3.62,2.88,2.88,3.12,0,0,0,2,2.88,2,0.12,0,2.12,2.88,2.75,2.25,0,0.38,0.12,2.25,1.25,1.75,3.38,0,0,2.88,2.88,3.12,1.88,1.38,0,3,0,3,"Level"
"79","Biochemical Engineers",4.25,4,4,3.38,4.38,0.62,0.75,0.62,3.38,4.12,3.38,1.5,2.38,2.75,3.88,3.62,2.62,2.38,3,4.12,3.12,1.62,3.5,4.75,0.5,4.38,2.75,3.12,4,3.75,3.38,2.12,3.25,1.75,4.12,"Level"
"80","Biochemists and Biophysicists",5.25,4.25,4,3.5,4.75,0.88,2.38,0,4.38,4.25,4.25,1.75,2,3.38,4.88,4.38,2.38,2.38,2.62,3.62,3.25,3.12,3.5,5.25,1.12,5.12,2.5,3.5,4.5,3.75,3.75,3,3.75,1.38,5.12,"Level"
"81","Biofuels/Biodiesel Technology and Product Development Managers",3.75,3.62,3.88,3.38,4.12,1.38,2.12,0.38,3.25,3.88,3.25,1.88,1.88,3.38,3.12,3.88,3.38,1.75,3,2.25,3.38,1.38,3,4.25,1.25,3,2.88,3.12,3.5,3.5,3.5,1.62,3.5,1.62,3.88,"Level"
"82","Bioinformatics Scientists",4.25,4.38,4.25,3.5,4.38,0,0.62,0,3.25,4.25,3.62,1.75,2,3.12,4.12,4.12,3,0.62,2.5,2.12,3.5,1.75,2.38,4.88,0,4.12,3,3.5,4.25,3.62,3.75,2.12,3.25,1.88,4.75,"Level"
"83","Bioinformatics Technicians",3.88,3.62,3.38,3,3.75,0.38,0.25,0,3.25,3.5,2.88,1,1,2.38,3.88,3.5,2.75,0.25,2.5,2.12,2.88,3,2.25,4.25,0.38,3.38,2.88,3,3.62,3.5,3.5,2,3,0.38,3.75,"Level"
"84","Biological Science Teachers, Postsecondary",4.25,4.38,3.75,3,4.12,0,0,0,4.38,4,4.12,2,2.12,2.88,3,3.75,2.75,0,0.88,2.75,3,0.38,1,5.12,0,3.75,3,3.5,4.75,3.12,3.12,0.12,3.38,0,4.88,"Level"
"85","Biological Technicians",3.5,3.88,3.5,3.12,4,1.75,1.38,0.12,2.62,3.75,2.62,1.12,1.75,2.25,3.75,3.62,1.62,2.75,3,1.75,2.75,2.12,3.12,4.62,1.25,3.5,2.12,2.62,3.62,2.75,2.88,1.62,3,2.88,3.75,"Level"
"86","Biologists",4.38,4,4.25,3.38,4.25,0,0.12,0,3.62,4,3.38,2.38,2.12,3.38,4.25,3.88,2.88,0.62,1.88,1.88,2.75,3.62,2.5,5.12,0,4.88,2.5,3.38,4.38,3.12,3,1,3.88,1.38,4.75,"Level"
"87","Biomass Plant Technicians",3,3.12,3,2.88,3.25,3.38,2.12,0.5,3,2.75,2.75,0.88,1.5,2.25,2.5,3.12,2.38,3.38,3.62,1.12,2.62,1.12,3.12,3.12,3.38,1.12,2.75,2.88,3,2.5,2.25,1.38,2.75,3.12,3,"Level"
"88","Biomass Power Plant Managers",3.38,3.75,3.75,4.12,4,2.88,1.88,0.12,3.5,3.62,3.38,4,3.62,4,3.38,4.75,3.12,2.88,3.88,2,3.5,1.38,3.38,4.25,2.75,2.5,2.62,3.75,3.88,3.62,3.5,1.25,3.75,3,3.75,"Level"
"89","Biomedical Engineers",4.88,4.38,4.62,3.62,4.88,3,3.25,3.12,4.38,4.62,4,2.38,2.88,3.25,4.88,4.12,3.25,2.62,3.5,4.62,3.5,3.75,3.88,5.38,3,5.25,3,3.62,4.5,4,4.12,4.12,3.38,3.75,4.38,"Level"
"90","Biostatisticians",4.62,4.25,4.38,3.38,4.88,0,1,0,4.25,4.25,3.88,1.5,1.38,3.25,5.25,3.88,2.88,0.38,0.88,3.12,2.88,4.12,1.75,5.12,0.25,4.75,2.75,3.25,4.5,3.75,3.5,1.25,3.62,0,5.12,"Level"
"91","Boilermakers",3,3,3.12,2.75,3.12,3,2.75,1.5,2.38,3.12,2.75,0.62,1.5,2.38,2,3.12,2.12,3.5,3.38,2.5,2.12,0,3.25,3,3.12,1.88,2.25,2.62,2.88,2.38,2.25,1,3,3,2.88,"Level"
"92","Bookkeeping, Accounting, and Auditing Clerks",3,3.88,2.88,2.62,3.5,0,0.25,0,2.38,2.88,2.5,2.12,1.12,2.5,3.25,3.12,2.5,0,1.25,0.88,2.5,0.5,0.25,3.75,0,0.12,2.62,2.88,3.38,2.25,1.75,0.38,3.12,0,3.25,"Level"
